timestamp,onboard_control_sensors_present,onboard_control_sensors_enabled,onboard_control_sensors_health,nav_state,arming_state,hil_state,failsafe,system_type,system_id,component_id,is_rotary_wing,is_vtol,vtol_fw_permanent_stab,in_transition_mode,in_transition_to_fw,rc_signal_lost,rc_input_mode,data_link_lost,high_latency_data_link_active,data_link_lost_counter,engine_failure,mission_failure
30507507,0,0,0,0,1,0,0,2,1,1,1,0,0,0,0,1,0,1,0,0,0,0
32517319,0,0,0,0,1,0,0,2,1,1,1,0,0,0,0,1,0,1,0,0,0,0
33525140,0,0,0,0,1,0,0,2,1,1,1,0,0,0,0,1,0,1,0,0,0,0
34530024,0,0,0,0,1,0,0,2,1,1,1,0,0,0,0,1,0,1,0,0,0,0
35531508,0,0,0,0,1,0,0,2,1,1,1,0,0,0,0,1,0,1,0,0,0,0
36541375,0,0,0,0,1,0,0,2,1,1,1,0,0,0,0,1,0,1,0,0,0,0
37545318,0,0,0,0,1,0,0,2,1,1,1,0,0,0,0,1,0,1,0,0,0,0
38551428,0,0,0,0,1,0,0,2,1,1,1,0,0,0,0,1,0,1,0,0,0,0
39558409,0,0,0,0,1,0,0,2,1,1,1,0,0,0,0,1,0,1,0,0,0,0
40561549,0,0,0,0,1,0,0,2,1,1,1,0,0,0,0,1,0,1,0,0,0,0
41574079,0,0,0,0,1,0,0,2,1,1,1,0,0,0,0,1,0,1,0,0,0,0
42581399,0,0,0,0,1,0,0,2,1,1,1,0,0,0,0,1,0,1,0,0,0,0
43581585,0,0,0,0,1,0,0,2,1,1,1,0,0,0,0,1,0,1,0,0,0,0
44592371,0,0,0,0,1,0,0,2,1,1,1,0,0,0,0,1,0,1,0,0,0,0
45596838,0,0,0,0,1,0,0,2,1,1,1,0,0,0,0,1,0,1,0,0,0,0
46171431,32,0,2097184,0,1,0,0,2,1,1,1,0,0,0,0,1,0,1,0,0,0,0
47174740,32,0,2097184,0,1,0,0,2,1,1,1,0,0,0,0,1,0,1,0,0,0,0
47262944,32,0,2097184,0,1,0,0,2,1,1,1,0,0,0,0,1,0,1,0,0,0,0
47273492,32,0,2097184,4,1,0,0,2,1,1,1,0,0,0,0,1,0,1,0,0,0,0
48284345,32,0,2097184,4,1,0,0,2,1,1,1,0,0,0,0,1,0,1,0,0,0,0
49289414,32,0,2097184,4,1,0,0,2,1,1,1,0,0,0,0,1,0,1,0,0,0,0
50291670,32,0,2097184,4,1,0,0,2,1,1,1,0,0,0,0,1,0,1,0,0,0,0
51302735,32,0,2097184,4,1,0,0,2,1,1,1,0,0,0,0,1,0,1,0,0,0,0
52302940,32,0,2097184,4,1,0,0,2,1,1,1,0,0,0,0,1,0,1,0,0,0,0
53311514,32,0,2097184,4,1,0,0,2,1,1,1,0,0,0,0,1,0,1,0,0,0,0
54311546,32,0,2097184,4,1,0,0,2,1,1,1,0,0,0,0,1,0,1,0,0,0,0
55316349,32,0,2097184,4,1,0,0,2,1,1,1,0,0,0,0,1,0,1,0,0,0,0
56319507,32,0,2097184,4,1,0,0,2,1,1,1,0,0,0,0,1,0,1,0,0,0,0
