timestamp,timestamp_sample,control[0],control[1],control[2],control[3],control[4],control[5],control[6],control[7]
57643387,57643248,0.060709696,-0.03640363,0.00055847375,0.0,0.0,0.0,0.0,-1.0
57744205,57744062,0.06262165,-0.038097855,-0.0038243064,0.0,0.0,0.0,0.0,-1.0
57844181,57844049,0.061286267,-0.037650272,-0.0018762065,0.0,0.0,0.0,0.0,-1.0
57944185,57944048,0.06397536,-0.04690937,-0.001099619,0.0,0.0,0.0,0.0,-1.0
58048190,58048050,0.066101976,-0.05143277,-0.0021845107,0.0,0.0,0.0,0.0,-1.0
58148186,58148047,0.06408514,-0.03860118,-0.0056217825,0.0,0.0,0.0,0.0,-1.0
58248982,58248848,0.06334465,-0.036612313,-0.0010307309,0.0,0.0,0.0,0.0,-1.0
58352983,58352848,0.06606684,-0.0502634,-6.0623166e-05,0.0,0.0,0.0,0.0,-1.0
58452982,58452848,0.06304345,-0.037380353,-0.00056264346,0.0,0.0,0.0,0.0,-1.0
58552983,58552848,0.060777113,-0.045524318,0.0030736949,0.0,0.0,0.0,0.0,-1.0
58657809,58657660,0.063426286,-0.050073333,-0.0033329404,0.0,0.0,0.0,0.0,-1.0
58757788,58757648,0.061775357,-0.045355123,-0.0055118795,0.0,0.0,0.0,0.0,-1.0
58857790,58857648,0.056512143,-0.042534485,-0.00088946795,0.0,0.0,0.0,0.0,-1.0
58961785,58961648,0.06301077,-0.036135584,-0.0036621455,0.0,0.0,0.0,0.0,-1.0
59062585,59062448,0.061204113,-0.037184194,-0.0008132476,0.0,0.0,0.0,0.0,-1.0
59162586,59162448,0.066872485,-0.049863763,-0.0017372196,0.0,0.0,0.0,0.0,-1.0
59266585,59266448,0.07086794,-0.036497213,-0.00087089464,0.0,0.0,0.0,0.0,-1.0
59366589,59366448,0.06881147,-0.052017417,-0.0018420328,0.0,0.0,0.0,0.0,-1.0
59468196,59468049,0.05842321,-0.038784057,-0.0023676772,0.0,0.0,0.0,0.0,-1.0
59568181,59568049,0.054934423,-0.03426852,-0.0020420218,0.0,0.0,0.0,0.0,-1.0
59672192,59672048,0.06454894,-0.040880375,-0.004151582,0.0,0.0,0.0,0.0,-1.0
59772188,59772048,0.060970474,-0.04985627,-0.0011178948,0.50569427,0.0,0.0,0.0,-1.0
59873021,59872876,-0.05963,-0.04027524,0.026464228,0.4947979,0.0,0.0,0.0,-1.0
59976984,59976848,0.0076893177,-0.00419222,0.03214426,0.4454185,0.0,0.0,0.0,-1.0
60076984,60076848,0.013056022,-0.01751829,0.01518877,0.41047972,0.0,0.0,0.0,-1.0
60177001,60176848,0.03688303,-0.010277732,0.024066696,0.41211984,0.0,0.0,0.0,-1.0
60281797,60281660,0.010108199,-0.025376646,0.025614016,0.41468504,0.0,0.0,0.0,-1.0
60381783,60381648,0.0024351026,-0.040771294,0.03845921,0.42128906,0.0,0.0,0.0,-1.0
60481789,60481648,0.025732968,-0.0068658283,0.026453549,0.4077855,0.0,0.0,0.0,-1.0
60585788,60585648,0.024202863,-0.020825999,0.02868862,0.40429923,0.0,0.0,0.0,-1.0
60686594,60686450,-0.009571044,-0.03331846,0.04338756,0.40228078,0.0,0.0,0.0,-1.0
60786586,60786448,0.064615816,-0.022845242,0.046703056,0.40157127,0.0,0.0,0.0,-1.0
60890584,60890448,0.035260834,-0.032034412,0.05473437,0.39885816,0.0,0.0,0.0,-1.0
60990582,60990448,0.029042184,-0.032483354,0.055487704,0.39575103,0.0,0.0,0.0,-1.0
61092191,61092048,0.0034166137,-0.02945386,0.055536527,0.3962049,0.0,0.0,0.0,-1.0
61192190,61192049,0.00018610759,-0.027006464,0.05796079,0.3997297,0.0,0.0,0.0,-1.0
61296187,61296047,0.0026168402,-0.04376271,0.053999923,0.39783466,0.0,0.0,0.0,-1.0
61396984,61396848,0.009203216,-0.04997895,0.041147053,0.39908102,0.0,0.0,0.0,-1.0
61496985,61496849,0.0153907575,-0.031502686,0.02583415,0.40123922,0.0,0.0,0.0,-1.0
61600985,61600848,0.0022494537,-0.043444388,0.016233664,0.40394738,0.0,0.0,0.0,-1.0
61700997,61700848,0.028973367,-0.044100713,0.018479824,0.40748897,0.0,0.0,0.0,-1.0
61800989,61800848,0.0071990066,-0.037396837,0.0052010566,0.41471905,0.0,0.0,0.0,-1.0
61905800,61905660,0.0054314286,-0.06854606,0.010106782,0.41830835,0.0,0.0,0.0,-1.0
62005784,62005648,0.022477489,-0.057828903,0.029698214,0.4280331,0.0,0.0,0.0,-1.0
62105784,62105648,-0.0010441346,-0.040387783,0.02462181,0.4488545,0.0,0.0,0.0,-1.0
62209786,62209648,-0.027011998,-0.037931006,0.034066938,0.49641073,0.0,0.0,0.0,-1.0
62311386,62311248,0.008979059,-0.0014273021,0.036821425,0.5613717,0.0,0.0,0.0,-1.0
62411385,62411248,0.0057020336,-0.032027796,0.03748014,0.62760603,0.0,0.0,0.0,-1.0
62511392,62511248,0.01825435,-0.061677687,0.0428182,0.6602078,0.0,0.0,0.0,-1.0
62616200,62616047,-0.02225417,-0.076082565,0.05767715,0.68150127,0.0,0.0,0.0,-1.0
62716192,62716048,0.046514176,-0.04866919,0.068111,0.6662519,0.0,0.0,0.0,-1.0
62816190,62816050,0.0012321388,-0.055691052,0.05956269,0.66979164,0.0,0.0,0.0,-1.0
62920193,62920048,0.042948134,-0.028283915,0.19285342,0.66920584,0.0,0.0,0.0,-1.0
