timestamp,airspeed_timestamp_rel,distance_sensor_timestamp_rel,gps_timestamp_rel,optical_flow_timestamp_rel,vehicle_air_data_timestamp_rel,vehicle_magnetometer_timestamp_rel,visual_odometry_timestamp_rel
57643248,32767,32767,32767,32767,32767,32767,32767
57647248,32767,32767,32767,32767,32767,32767,32767
57651248,32767,32767,32767,32767,-68,32767,32767
57655259,32767,32767,32767,32767,32767,32767,32767
57659248,32767,32767,32767,32767,32767,32767,32767
57663248,32767,32767,32767,32767,-70,-82,32767
57667248,32767,32767,32767,32767,32767,32767,32767
57671248,32767,32767,32767,32767,-48,32767,32767
57675273,32767,32767,32767,32767,32767,32767,32767
57679248,32767,32767,-99,32767,32767,32767,32767
57683248,32767,32767,32767,32767,32767,-62,32767
57687248,32767,32767,32767,32767,32767,32767,32767
57691248,32767,32767,32767,32767,32767,32767,32767
57695249,32767,32767,32767,32767,-69,32767,32767
57699249,32767,32767,32767,32767,32767,32767,32767
57703248,32767,32767,32767,32767,32767,32767,32767
57707250,32767,32767,32767,32767,-72,-82,32767
57711248,32767,32767,32767,32767,32767,32767,32767
57715248,32767,32767,32767,32767,-42,32767,32767
57719248,32767,32767,32767,32767,32767,32767,32767
57723248,32767,32767,32767,32767,32767,32767,32767
57727257,32767,32767,32767,32767,32767,-82,32767
57732048,32767,32767,32767,32767,32767,32767,32767
57736047,32767,32767,32767,32767,32767,32767,32767
57740048,32767,32767,32767,32767,-70,32767,32767
57744062,32767,32767,32767,32767,32767,32767,32767
57748049,32767,32767,32767,32767,-36,-70,32767
57752048,32767,32767,32767,32767,32767,32767,32767
57756050,32767,32767,32767,32767,32767,32767,32767
57760047,32767,32767,32767,32767,-50,32767,32767
57764049,32767,32767,32767,32767,32767,32767,32767
57768050,32767,32767,32767,32767,32767,32767,32767
57772050,32767,32767,32767,32767,32767,-76,32767
57776049,32767,32767,32767,32767,32767,32767,32767
57780048,32767,32767,32767,32767,32767,32767,32767
57784048,32767,32767,32767,32767,-69,32767,32767
57788049,32767,32767,32767,32767,32767,32767,32767
57792048,32767,32767,32767,32767,32767,32767,32767
57796050,32767,32767,32767,32767,-69,-77,32767
57800063,32767,32767,32767,32767,32767,32767,32767
57804048,32767,32767,32767,32767,32767,32767,32767
57808048,32767,32767,32767,32767,-66,32767,32767
57812049,32767,32767,32767,32767,32767,32767,32767
57816048,32767,32767,32767,32767,32767,32767,32767
57820048,32767,32767,32767,32767,32767,-76,32767
57824052,32767,32767,32767,32767,32767,32767,32767
