timestamp,timestamp_last_signal,channel_count,rssi,rc_lost_frame_count,rc_total_frame_count,rc_ppm_frame_length,values[0],values[1],values[2],values[3],values[4],values[5],values[6],values[7],values[8],values[9],values[10],values[11],values[12],values[13],values[14],values[15],values[16],values[17],rc_failsafe,rc_lost,input_source
57624733,57624733,8,39,0,0,27002,1488,1497,992,2016,1401,992,992,991,0,0,0,0,0,0,0,0,0,0,0,0,2
57825534,57825534,8,39,0,0,27003,1488,1497,992,2015,1402,992,992,991,0,0,0,0,0,0,0,0,0,0,0,0,2
58049544,58049544,8,39,0,0,27004,1489,1497,992,2015,1402,992,992,991,0,0,0,0,0,0,0,0,0,0,0,0,2
58230332,58230332,8,39,0,0,27002,1488,1498,991,1796,1402,992,992,991,0,0,0,0,0,0,0,0,0,0,0,0,2
58446333,58446333,8,39,0,0,27007,1488,1498,991,1512,1401,992,992,991,0,0,0,0,0,0,0,0,0,0,0,0,2
58643141,58643141,8,39,0,0,27002,1489,1497,992,1513,1402,992,991,991,0,0,0,0,0,0,0,0,0,0,0,0,2
58843141,58843141,8,39,0,0,26996,1488,1497,1095,1511,1402,992,991,992,0,0,0,0,0,0,0,0,0,0,0,0,2
59043954,59043954,8,39,0,0,27002,1489,1497,1237,1512,1402,991,992,991,0,0,0,0,0,0,0,0,0,0,0,0,2
59243934,59243934,8,39,0,0,27002,1488,1498,1357,1512,1402,991,992,991,0,0,0,0,0,0,0,0,0,0,0,0,2
59452957,59452957,8,39,0,0,27003,1488,1497,1449,1510,1402,991,992,991,0,0,0,0,0,0,0,0,0,0,0,0,2
59665532,59665532,8,39,0,0,26993,1488,1498,1499,1510,1402,992,992,991,0,0,0,0,0,0,0,0,0,0,0,0,2
59866349,59866349,8,39,0,0,27005,1489,1497,1551,1511,1402,992,991,991,0,0,0,0,0,0,0,0,0,0,0,0,2
60066526,60066526,8,39,0,0,27008,1488,1498,1572,1512,1402,991,992,991,0,0,0,0,0,0,0,0,0,0,0,0,2
60255157,60255157,8,39,0,0,27005,1488,1498,1574,1511,1402,992,992,991,0,0,0,0,0,0,0,0,0,0,0,0,2
60463327,60463327,8,39,0,0,27002,1488,1498,1574,1512,1401,992,992,991,0,0,0,0,0,0,0,0,0,0,0,0,2
60680155,60680155,8,39,0,0,27003,1488,1497,1576,1511,1402,992,992,991,0,0,0,0,0,0,0,0,0,0,0,0,2
60879933,60879933,8,39,0,0,27000,1488,1497,1576,1511,1402,992,991,992,0,0,0,0,0,0,0,0,0,0,0,0,2
61072750,61072750,8,39,0,0,27003,1489,1497,1576,1511,1402,991,992,991,0,0,0,0,0,0,0,0,0,0,0,0,2
61269554,61269554,8,39,0,0,27007,1488,1522,1576,1512,1401,992,992,991,0,0,0,0,0,0,0,0,0,0,0,0,2
61494336,61494336,8,39,0,0,27002,1488,1554,1576,1512,1401,992,992,991,0,0,0,0,0,0,0,0,0,0,0,0,2
61698339,61698339,8,39,0,0,27001,1490,1788,1586,1512,1402,991,992,991,0,0,0,0,0,0,0,0,0,0,0,0,2
61891132,61891132,8,39,0,0,27013,1534,2011,1588,1511,1402,992,991,992,0,0,0,0,0,0,0,0,0,0,0,0,2
62103151,62103151,8,39,0,0,27008,1494,2012,1599,1512,1402,991,992,991,0,0,0,0,0,0,0,0,0,0,0,0,2
62300951,62300951,8,39,0,0,27002,1492,2012,1760,1511,1402,992,992,991,0,0,0,0,0,0,0,0,0,0,0,0,2
62500721,62500721,8,39,0,0,26999,1492,2012,1773,1511,1402,992,991,992,0,0,0,0,0,0,0,0,0,0,0,0,2
62693541,62693541,8,39,0,0,27002,1503,2011,1775,1511,1402,992,991,992,0,0,0,0,0,0,0,0,0,0,0,0,2
62897518,62897518,8,39,0,0,27002,1494,2012,1761,1738,1402,991,992,991,0,0,0,0,0,0,0,0,0,0,0,0,2
63094567,63094567,8,39,0,0,27002,1493,2011,1759,1755,1402,991,992,991,0,0,0,0,0,0,0,0,0,0,0,0,2
63310528,63310528,8,39,0,0,27001,1493,2012,1759,1510,1402,992,992,991,0,0,0,0,0,0,0,0,0,0,0,0,2
63499147,63499147,8,39,0,0,27001,1494,2012,1760,1511,1402,991,992,991,0,0,0,0,0,0,0,0,0,0,0,0,2
63723133,63723133,8,39,0,0,27001,1500,2011,1760,1528,1402,991,992,991,0,0,0,0,0,0,0,0,0,0,0,0,2
63919936,63919936,8,39,0,0,27002,1498,2012,1758,1670,1402,991,992,991,0,0,0,0,0,0,0,0,0,0,0,0,2
64123929,64123929,8,39,0,0,26999,1495,2011,1759,1607,1402,992,991,992,0,0,0,0,0,0,0,0,0,0,0,0,2
