timestamp,rxerrors,fix,rssi,remote_rssi,txbuf,noise,remote_noise
56676153,2,0,104,107,100,48,66
57846160,2,0,104,107,97,42,65
58734608,2,0,104,107,99,44,54
59778136,2,0,104,107,97,46,55
60704018,2,0,118,122,100,43,58
61738011,2,0,137,135,100,47,67
62726311,2,0,152,155,97,49,61
63693131,2,0,157,159,95,43,58
64735107,2,0,157,159,93,53,53
65777068,2,0,152,152,99,42,67
66704595,2,0,150,152,100,51,57
67733066,2,0,148,149,100,48,61
68778129,2,0,146,147,89,42,70
69808162,2,0,143,144,93,52,63
70729068,2,0,139,140,99,45,54
71766668,2,0,134,137,97,47,63
72808389,2,0,132,134,100,40,59
73795747,2,0,125,128,100,39,52
74772164,2,0,125,126,84,45,57
75755114,2,0,125,126,93,49,67
76720151,2,0,125,127,97,48,57
77769558,2,0,124,127,95,44,63
78797126,2,0,117,116,97,50,57
79847134,2,0,116,116,87,43,65
80768741,2,0,115,116,100,45,64
81801174,2,0,115,117,100,50,52
82728148,2,0,115,119,100,48,65
83755237,2,0,115,117,97,43,54
84754794,2,0,115,117,96,54,63
85719166,2,0,115,117,100,54,63
86798760,2,0,115,117,87,51,61
87711406,2,0,116,118,99,46,54
88712371,2,0,117,120,97,43,58
89780753,2,0,118,120,100,49,56
90799107,2,0,120,122,89,53,63
91718236,2,0,120,122,100,46,56
92757130,2,0,121,125,100,49,65
93791107,2,0,122,126,100,47,62
94834176,2,0,124,128,100,47,61
95799124,2,0,125,129,91,48,54
96675225,2,0,126,130,98,48,61
97718235,2,0,126,130,91,48,60
98680159,2,0,128,130,99,50,66
99740150,2,0,129,132,97,47,55
100705065,2,0,132,133,91,48,58
101868256,2,0,132,135,89,41,58
102774166,2,0,132,135,97,48,61
103718647,2,0,133,136,100,52,53
104752299,2,0,133,136,99,47,60
105709069,2,0,133,136,100,44,57
106716165,2,0,133,135,95,49,63
107755103,2,0,132,133,97,47,62
108784152,2,0,132,133,84,45,53
109865031,2,0,132,135,100,44,66
110708127,2,0,133,136,100,51,52
111787113,2,0,134,136,97,45,58
112940184,2,0,135,138,85,48,55
113738127,2,0,137,138,99,50,67
114781024,2,0,138,141,97,49,62
115715994,2,0,139,142,100,50,62
116759104,2,0,139,143,100,47,65
117784239,2,0,139,143,83,51,54
118706176,2,0,139,143,100,43,56
119735168,2,0,139,142,97,47,56
120808159,2,0,133,135,99,50,54
121814183,2,0,128,130,97,48,61
122727134,2,0,128,130,96,48,56
123778131,2,0,129,129,97,44,57
124810196,2,0,129,130,100,41,64
125739113,2,0,130,130,99,42,63
126768352,2,0,130,130,96,50,61
127679107,2,0,128,131,99,48,54
128731106,2,0,126,128,100,49,58
129783110,2,0,126,127,99,48,66
130812129,2,0,126,127,87,48,54
131721081,2,0,122,125,91,49,54
132810749,2,0,119,122,94,42,56
133677137,2,0,115,117,100,44,66
134720971,2,0,112,114,98,46,58
135756187,2,0,111,112,100,45,58
136808180,2,0,113,111,100,46,52
137752149,2,0,124,127,100,45,59
138767100,2,0,131,133,97,48,67
139796210,2,0,131,133,92,42,63
140713142,2,0,128,131,94,45,54
141753068,2,0,126,128,99,48,53
142794128,2,0,125,126,84,45,60
143789069,2,0,123,125,100,49,57
144718173,2,0,121,122,99,50,64
145794129,2,0,120,122,92,43,55
146723130,2,0,119,121,100,45,59
147758358,2,0,115,116,96,50,60
148705126,2,0,115,117,100,52,65
149714222,2,0,118,123,99,45,58
150744254,2,0,118,123,97,47,56
151799096,2,0,119,124,94,45,66
152715194,2,0,119,126,99,39,45
153710131,2,0,122,126,100,49,66
154832145,2,0,131,131,85,48,64
155755800,2,0,134,134,99,41,54
156739198,2,0,135,137,100,50,51
157783110,2,0,136,137,96,48,59
158724220,2,0,136,138,100,44,65
159767193,2,0,135,137,100,49,65
160783357,2,0,128,132,94,45,55
161711095,2,0,120,125,100,50,63
162734144,2,0,114,118,97,41,51
163781431,2,0,108,111,100,44,53
164774731,2,0,106,108,99,45,52
165738179,2,0,106,109,84,44,55
166780722,2,0,112,112,100,43,60
167812376,2,0,116,118,98,47,57
168737448,2,0,119,121,100,38,56
169774558,2,0,119,122,97,44,58
170706155,2,0,115,116,94,48,61
171741059,2,0,112,114,99,46,57
172776928,2,0,110,112,100,46,56
173704293,2,0,108,109,100,44,66
174729022,2,0,107,109,97,45,64
175718956,2,0,106,108,97,42,60
176801071,2,0,106,104,77,53,53
177775599,2,0,107,109,94,49,55
178771209,2,0,95,98,100,49,55
179805591,2,0,109,112,100,44,54
180851006,2,0,119,123,93,48,55
181771166,2,0,119,124,93,49,61
182794581,2,0,120,125,100,48,61
183720594,2,0,120,124,98,49,65
184765068,2,0,120,124,100,42,60
185694301,2,0,120,125,95,48,57
186765078,2,0,121,126,95,42,59
187762415,2,0,121,126,95,46,59
