timestamp,time_utc_usec,lat,lon,alt,alt_ellipsoid,s_variance_m_s,c_variance_rad,eph,epv,hdop,vdop,noise_per_ms,jamming_indicator,vel_m_s,vel_n_m_s,vel_e_m_s,vel_d_m_s,cog_rad,timestamp_time_relative,heading,heading_offset,fix_type,vel_ned_valid,satellites_used
57471124,1552674646400308,323873506,-1170765251,14912,-19532,0.22700001,2.6355524,0.76900005,1.0530001,0.62,0.87,90,4,0.027,-0.021000002,0.016,0.143,0.0,0,nan,0.0,3,1,18
57669395,1552674646600308,323873507,-1170765251,14876,-19568,0.19000001,2.6355546,0.76900005,1.052,0.62,0.87,90,4,0.062000003,0.033,-0.052,0.047000002,0.0,0,nan,0.0,3,1,18
57870534,1552674646800308,323873507,-1170765251,14873,-19572,0.22800002,2.635557,0.76900005,1.0530001,0.62,0.87,90,4,0.047000002,0.016,0.044000003,0.071,0.0,0,nan,0.0,3,1,18
58073571,1552674647000308,323873508,-1170765250,14873,-19571,0.23400001,2.6355593,0.76900005,1.0530001,0.62,0.87,90,4,0.051000003,0.033,0.038000003,0.085,0.0,0,nan,0.0,3,1,18
58271167,1552674647200308,323873508,-1170765250,14868,-19576,0.208,2.6355615,0.76900005,1.0530001,0.62,0.87,90,7,0.035,0.008,-0.034,0.047000002,0.0,0,nan,0.0,3,1,18
58471137,1552674647400308,323873509,-1170765250,14855,-19590,0.21900001,2.6355636,0.77000004,1.0530001,0.62,0.88,90,7,0.031000001,0.017,0.026,0.015000001,0.0,0,nan,0.0,3,1,18
58669085,1552674647600308,323873509,-1170765249,14863,-19582,0.22800002,2.635566,0.77000004,1.0530001,0.62,0.88,90,7,0.015000001,-0.014,0.0050000004,0.058000002,0.0,0,nan,0.0,3,1,18
58875524,1552674647800308,323873509,-1170765249,14849,-19596,0.22000001,2.6355681,0.77000004,1.054,0.62,0.88,90,7,0.017,-0.008,-0.015000001,0.032,0.0,0,nan,0.0,3,1,18
59077130,1552674648000308,323873509,-1170765250,14856,-19588,0.23300001,2.6355705,0.77000004,1.0530001,0.62,0.88,90,7,0.012,-0.001,0.012,0.059000004,0.0,0,nan,0.0,3,1,18
59276144,1552674648200308,323873510,-1170765249,14866,-19578,0.23200001,2.635573,0.77000004,1.0530001,0.62,0.88,91,4,0.058000002,0.052,0.025,0.072000004,0.0,0,nan,0.0,3,1,18
59474234,1552674648400308,323873511,-1170765249,14882,-19562,0.20700002,2.635575,0.77000004,1.054,0.62,0.88,91,4,0.051000003,0.044000003,0.025,-0.031000001,0.0,0,nan,0.0,3,1,18
59674176,1552674648600308,323873512,-1170765248,14879,-19566,0.202,2.6355772,0.77000004,1.0530001,0.62,0.88,91,4,0.068,0.062000003,0.028,-0.028,0.0,0,nan,0.0,3,1,18
59873790,1552674648800308,323873513,-1170765248,14883,-19562,0.19600001,2.6355789,0.77000004,1.0530001,0.62,0.88,91,4,0.028,0.008,0.027,-0.015000001,0.0,0,nan,0.0,3,1,18
60084165,1552674649000308,323873513,-1170765246,14915,-19530,0.23600002,2.6355834,0.771,1.0530001,0.62,0.88,91,4,0.055000003,-0.022000002,0.05,-0.44400004,0.0,0,nan,0.0,3,1,18
60296164,1552674649200308,323873514,-1170765246,15044,-19400,0.24700001,2.6355908,0.771,1.0550001,0.62,0.88,91,4,0.09200001,0.09200001,0.007,-0.68500006,0.0,0,nan,0.0,3,1,18
60477147,1552674649400308,323873515,-1170765246,15192,-19252,0.25100002,2.635599,0.771,1.057,0.62,0.88,91,4,0.1,0.031000001,0.095000006,-0.78800005,0.0,0,nan,0.0,3,1,18
60677410,1552674649600308,323873514,-1170765243,15461,-18984,0.238,2.6356096,0.771,1.057,0.62,0.88,91,4,0.24900001,-0.041,0.245,-0.99500006,0.0,0,nan,0.0,3,1,18
60875204,1552674649800308,323873514,-1170765241,15665,-18779,0.29500002,2.6356199,0.77400005,1.0630001,0.62,0.88,91,4,0.021000002,-0.016,0.013,-0.98,0.0,0,nan,0.0,3,1,18
61077239,1552674650000308,323873513,-1170765240,15807,-18637,0.26200002,2.6356297,0.77800006,1.0660001,0.62,0.88,91,4,0.136,-0.135,0.018000001,-0.9250001,0.0,0,nan,0.0,3,1,18
61275210,1552674650200308,323873511,-1170765240,15938,-18506,0.264,2.6356387,0.77800006,1.0680001,0.62,0.88,87,6,0.17,-0.17,-0.0050000004,-0.85400003,0.0,0,nan,0.0,3,1,18
61474166,1552674650400308,323873509,-1170765240,16094,-18350,0.263,2.6356459,0.77800006,1.069,0.62,0.88,87,6,0.105000004,-0.105000004,0.012,-0.67300004,0.0,0,nan,0.0,3,1,18
61670183,1552674650600308,323873506,-1170765239,16296,-18148,0.254,2.6356533,0.77800006,1.069,0.62,0.88,87,6,0.13000001,-0.1,0.083000004,-0.688,0.0,0,nan,0.0,3,1,18
61871174,1552674650800308,323873505,-1170765238,16428,-18016,0.259,2.6356616,0.77800006,1.07,0.62,0.88,87,6,0.085,-0.08400001,-0.016,-0.818,0.0,0,nan,0.0,3,1,18
62073145,1552674651000308,323873504,-1170765241,16572,-17872,0.259,2.6356704,0.77800006,1.0710001,0.62,0.88,87,6,0.22800002,-0.042000003,-0.224,-0.79700005,0.0,0,nan,0.0,3,1,18
62277016,1552674651200308,323873506,-1170765249,16738,-17706,0.24000001,0.33782363,0.77800006,1.072,0.62,0.88,87,7,0.63000005,0.27,-0.569,-0.684,5.1731844,0,nan,0.0,3,1,18
62477144,1552674651400308,323873513,-1170765269,16900,-17544,0.21000001,0.15114462,0.77900004,1.072,0.62,0.88,87,7,1.4530001,0.73200005,-1.2550001,-0.73800004,5.2290387,0,nan,0.0,3,1,18
62678160,1552674651600308,323873530,-1170765309,17164,-17281,0.208,0.07876845,0.78000003,1.072,0.62,0.88,87,7,2.785,1.2240001,-2.5010002,-1.2310001,5.1804447,0,nan,0.0,3,1,18
62874239,1552674651800308,323873556,-1170765382,17480,-16964,0.19800001,0.047206093,0.781,1.072,0.62,0.88,87,7,4.5730004,1.728,-4.234,-1.378,5.1205254,0,nan,0.0,3,1,18
63073640,1552674652000308,323873592,-1170765484,17810,-16634,0.201,0.04142364,0.78200006,1.0730001,0.62,0.88,87,7,5.814,2.3730001,-5.308,-1.4510001,5.1278634,0,nan,0.0,3,1,18
63275120,1552674652200308,323873641,-1170765608,18159,-16285,0.202,0.03408645,0.78400004,1.074,0.62,0.88,87,6,7.0610003,3.2310002,-6.2790003,-1.2440001,5.166444,0,nan,0.0,3,1,18
63475119,1552674652400308,323873704,-1170765748,18571,-15873,0.20400001,0.030153876,0.786,1.074,0.62,0.88,87,6,7.715,3.7730002,-6.729,-1.6380001,5.202723,0,nan,0.0,3,1,18
63673092,1552674652600308,323873774,-1170765899,19001,-15444,0.216,0.02905013,0.78700006,1.075,0.62,0.88,87,6,8.4210005,4.1940002,-7.3020005,-2.005,5.2337513,0,nan,0.0,3,1,18
63877078,1552674652800308,323873853,-1170766055,19517,-14927,0.21300001,0.025796838,0.78800005,1.075,0.62,0.88,87,6,8.741,4.715,-7.36,-2.279,5.2821507,0,nan,0.0,3,1,18
64080028,1552674653000308,323873945,-1170766208,20039,-14406,0.215,0.0251481,0.78900003,1.075,0.62,0.88,87,6,8.833,5.425,-6.9700003,-2.546,5.373839,0,nan,0.0,3,1,18
64277093,1552674653200308,323874046,-1170766349,20552,-13893,0.21900001,0.025516538,0.78900003,1.0760001,0.62,0.88,87,7,8.681001,5.866,-6.399,-2.367,5.4543037,0,nan,0.0,3,1,18
64477086,1552674653400308,323874157,-1170766480,21030,-13414,0.22100002,0.022911284,0.78900003,1.074,0.62,0.88,87,7,8.63,6.328,-5.8680005,-1.9980001,5.5354443,0,nan,0.0,3,1,18
64674147,1552674653600308,323874276,-1170766600,21457,-12987,0.223,0.022604456,0.78900003,1.074,0.62,0.88,87,7,8.7890005,6.8870006,-5.46,-1.927,5.6128764,0,nan,0.0,3,1,18
64874536,1552674653800308,323874403,-1170766715,21895,-12549,0.22100002,0.022520157,0.78900003,1.074,0.62,0.88,87,7,8.7960005,7.103,-5.1870003,-1.496,5.65242,0,nan,0.0,3,1,18
65085141,1552674654000308,323874533,-1170766826,22278,-12167,0.22600001,0.023875404,0.79,1.074,0.62,0.88,87,7,9.024,7.3910003,-5.177,-1.7210001,5.6721396,0,nan,0.0,3,1,18
65275135,1552674654200308,323874667,-1170766935,22708,-11736,0.22500001,0.022945318,0.79,1.074,0.62,0.88,87,5,9.029,7.5000005,-5.026,-2.015,5.6927834,0,nan,0.0,3,1,18
65474178,1552674654400308,323874802,-1170767042,23152,-11292,0.224,0.023139399,0.791,1.075,0.62,0.88,87,5,9.061001,7.5600004,-4.9950004,-1.7700001,5.699286,0,nan,0.0,3,1,18
65677083,1552674654600308,323874939,-1170767150,23597,-10847,0.22700001,0.023678705,0.79200006,1.0760001,0.62,0.88,87,5,9.212001,7.7380004,-4.998,-1.8790001,5.70974,0,nan,0.0,3,1,18
65873179,1552674654800308,323875078,-1170767259,24046,-10398,0.22700001,0.023237836,0.79300004,1.0760001,0.62,0.88,87,5,9.217,7.7420006,-5.0,-1.8700001,5.7097206,0,nan,0.0,3,1,18
66075568,1552674655000308,323875218,-1170767367,24496,-9948,0.22800002,0.023033109,0.794,1.077,0.62,0.88,87,5,9.3220005,7.8750005,-4.9880004,-1.8690001,5.7185416,0,nan,0.0,3,1,18
66278144,1552674655200308,323875359,-1170767477,24932,-9512,0.23,0.023178495,0.795,1.0780001,0.62,0.88,87,6,9.458,7.9210005,-5.169,-1.9130001,5.704992,0,nan,0.0,3,1,18
