timestamp,remote_timestamp,observed_offset,estimated_offset,round_trip_time
239792466,1532984864126680,-1532984624343428,-1532984624338938,18421
239884355,1532984864219145,-1532984624338510,-1532984624338931,7385
240002295,1532984864334701,-1532984624344741,-1532984624338931,24662
240197370,1532984864534366,-1532984624344783,-1532984624339033,15568
240288463,1532984864624415,-1532984624341444,-1532984624339033,10977
240511384,1532984864847523,-1532984624353984,-1532984624339033,35683
240587455,1532984864923628,-1532984624342161,-1532984624339033,11971
240683239,1532984865019831,-1532984624340372,-1532984624339118,7505
240783643,1532984865119595,-1532984624339809,-1532984624339173,7680
240884306,1532984865220960,-1532984624340814,-1532984624339277,8268
240993650,1532984865329108,-1532984624341925,-1532984624339277,12927
241088336,1532984865425073,-1532984624342673,-1532984624339277,11867
241194361,1532984865528634,-1532984624341144,-1532984624339277,13735
241283458,1532984865618866,-1532984624338938,-1532984624339287,7027
241389352,1532984865725668,-1532984624340696,-1532984624339382,8726
241490396,1532984865824133,-1532984624340357,-1532984624339382,13232
241590309,1532984865924446,-1532984624339712,-1532984624339382,11145
241690288,1532984866026291,-1532984624341946,-1532984624339382,11871
241794036,1532984866128397,-1532984624341940,-1532984624339382,15151
241893657,1532984866225188,-1532984624339291,-1532984624339382,15507
242007734,1532984866342121,-1532984624348890,-1532984624339382,28239
242093779,1532984866425031,-1532984624338860,-1532984624339382,15211
242186351,1532984866520883,-1532984624338277,-1532984624339356,7440
242291386,1532984866626151,-1532984624340628,-1532984624339356,11713
242396316,1532984866730871,-1532984624342409,-1532984624339356,15694
242485378,1532984866822849,-1532984624340003,-1532984624339414,5028
242587576,1532984866925498,-1532984624341406,-1532984624339540,6917
242689391,1532984867025753,-1532984624341185,-1532984624339653,9595
242790370,1532984867127784,-1532984624343682,-1532984624339653,12528
242898444,1532984867233012,-1532984624342744,-1532984624339653,16347
242991965,1532984867329527,-1532984624344792,-1532984624339653,14452
243086579,1532984867421111,-1532984624338408,-1532984624339628,7684
243189869,1532984867526941,-1532984624342813,-1532984624339628,11474
243286327,1532984867621521,-1532984624338000,-1532984624339581,5555
243387503,1532984867722816,-1532984624339897,-1532984624339625,9110
243481123,1532984867818929,-1532984624339491,-1532984624339648,3334
243589311,1532984867927533,-1532984624341119,-1532984624339750,5758
243690545,1532984868025437,-1532984624340066,-1532984624339750,10340
243790706,1532984868127468,-1532984624342245,-1532984624339750,10959
243895128,1532984868228135,-1532984624340663,-1532984624339750,15300
243995476,1532984868331775,-1532984624343652,-1532984624339750,14692
244091622,1532984868426486,-1532984624340308,-1532984624339750,10875
244191895,1532984868529889,-1532984624343733,-1532984624339750,10692
244293285,1532984868630374,-1532984624342815,-1532984624339750,11446
244392972,1532984868728765,-1532984624342164,-1532984624339750,12726
