,Unnamed: 0,Unnamed: 0.1,timestamp,time_utc_usec,lat,lon,alt,noise_per_ms,jamming_indicator,vel_m_s,heading,satellites_used,load,ram_usage,voltage_filtered_v,remaining,warning,discharged_mah,noise,remote_noise,txbuf,rssi,remote_rssi,rxerrors,fix,baro_temp_celcius,baro_pressure_pa,landed,ground_contact,time
0,0,0,120603671,1554222985600194,323874292,-1170763872,0.02,71,76,0.030000001000000002,,17,0.48009634,0.7904645,12.42123,0.9337890999999999,0,32.700309999999995,29.0,0.0,100.0,36.0,0.0,4.0,0.0,25.805052,101421.27,1.0,0.0,0
1,1,1,121182908,1554222986200194,323874291,-1170763868,0.02,71,39,0.091000006,,17,0.5292243000000001,0.79087377,12.367935000000001,0.9140499,0,34.529133,30.0,0.0,95.0,35.0,0.0,4.0,0.0,25.802554999999998,101419.85,1.0,0.0,1
2,2,2,122181898,1554222987200194,323874293,-1170763863,0.02,71,51,0.033,,17,0.5139203,0.79087377,12.076375,0.8372567,0,40.065517,35.0,0.0,97.0,36.0,0.0,4.0,0.0,25.835012,101420.47,0.0,0.0,2
3,3,3,123187929,1554222988200194,323874292,-1170763852,0.02,71,36,0.28300002,,17,0.5156052,0.79087377,11.681643,0.758889,0,54.11039,29.0,0.0,94.0,36.0,0.0,5.0,0.0,25.83751,101415.3,0.0,0.0,3
4,4,4,124189132,1554222989200194,323874348,-1170763853,0.02,49,49,0.6940000000000001,,17,0.5400213,0.79087377,11.512172,0.7239135,0,68.27125500000001,36.0,0.0,87.0,39.0,0.0,5.0,0.0,25.795063,101398.31,0.0,0.0,4
5,5,5,125186885,1554222990200194,323874447,-1170763838,0.02,49,50,1.784,,17,0.542428,0.79087377,11.589177000000001,0.744129,0,80.610214,86.0,0.0,95.0,40.0,0.0,5.0,0.0,25.822529,101377.99,0.0,0.0,5
6,6,6,126183603,1554222991200194,323874578,-1170763770,0.02,49,49,1.088,,17,0.5252526,0.79087377,11.55754,0.7381919,0,94.72827,26.0,0.0,96.0,39.0,0.0,5.0,0.0,25.867476,101365.93,0.0,0.0,6
7,7,7,127187324,1554222992200194,323874692,-1170763697,0.02,49,45,1.6850001000000001,,17,0.5083401,0.79087377,11.491261999999999,0.7228720999999999,0,108.79077,31.0,0.0,97.0,37.0,0.0,5.0,0.0,25.889948,101362.03,0.0,0.0,7
8,8,8,128187310,1554222993200194,323874808,-1170763597,0.02,49,44,1.557,,17,0.51237965,0.79087377,11.461711,0.7131193,0,122.9067,31.0,0.0,86.0,37.0,0.0,5.0,0.0,25.83751,101355.93,0.0,0.0,8
9,9,9,129188894,1554222994200193,323874851,-1170763527,0.02,50,44,0.5870000000000001,,17,0.5079204,0.79087377,11.416567,0.6984876,0,137.08333000000002,31.0,0.0,95.0,37.0,0.0,5.0,0.0,25.795063,101352.33,0.0,0.0,9
10,10,10,130189977,1554222995200193,323874836,-1170763503,0.02,50,38,0.363,,17,0.50795346,0.79087377,11.366702,0.68801814,0,151.2038,26.0,0.0,97.0,37.0,0.0,5.0,0.0,25.79007,101348.64,0.0,0.0,10
11,11,11,131192889,1554222996200193,323874792,-1170763488,0.03,50,39,0.11199999999999999,,17,0.5187959,0.79087377,11.429457000000001,0.7005741999999999,0,164.87445,29.0,0.0,97.0,37.0,0.0,5.0,0.0,25.765097,101338.78,0.0,0.0,11
12,12,12,132186924,1554222997200193,323874796,-1170763476,0.03,50,34,0.08900000000000001,,17,0.5166359,0.79087377,11.447457,0.70296603,0,178.90335,32.0,0.0,87.0,37.0,0.0,5.0,0.0,25.757604999999998,101331.62,0.0,0.0,12
13,13,13,133193064,1554222998200193,323874807,-1170763523,0.03,50,34,1.042,,17,0.5094967,0.79087377,11.404478,0.69136983,0,192.95045,79.0,0.0,91.0,37.0,0.0,5.0,0.0,25.760105,101328.32,0.0,0.0,13
14,14,14,134192053,1554222999200193,323874843,-1170763598,0.03,54,12,0.611,,17,0.50822175,0.79087377,11.442322,0.70085317,0,206.91846999999999,27.0,0.0,98.0,37.0,0.0,5.0,0.0,25.775085,101324.695,0.0,0.0,14
15,15,15,135189883,1554223000200193,323874907,-1170763621,0.02,54,42,0.674,,17,0.51128995,0.79087377,11.387628999999999,0.68441755,0,221.05147000000002,30.0,0.0,98.0,37.0,0.0,5.0,0.0,25.792566,101337.2,0.0,0.0,15
16,16,16,136187916,1554223001200193,323874932,-1170763595,0.02,54,24,0.58500004,,16,0.51453197,0.79087377,11.35342,0.6756337,0,235.17177,27.0,0.0,100.0,37.0,0.0,5.0,0.0,25.775085,101341.945,0.0,0.0,16
17,17,17,137188925,1554223002200193,323874954,-1170763610,0.02,60,57,0.326,,17,0.51352584,0.79087377,11.3323345,0.66996557,0,249.21724,32.0,0.0,95.0,37.0,0.0,5.0,0.0,25.777582000000002,101339.3,0.0,0.0,17
18,18,18,138182608,1554223003200192,323874978,-1170763621,0.03,60,46,0.19800001,,17,0.5156535,0.79087377,11.364904,0.67677385,0,263.2286,30.0,0.0,98.0,37.0,0.0,5.0,0.0,25.810043,101332.63,0.0,0.0,18
19,19,19,139183144,1554223004200192,323875004,-1170763661,0.03,64,87,0.54200006,,17,0.5156277,0.79087377,11.387691499999999,0.68001586,0,277.40903,27.0,0.0,93.0,37.0,0.0,5.0,0.0,25.840006,101332.66,0.0,0.0,19
20,20,20,140179933,1554223005200192,323875043,-1170763715,0.03,73,37,0.68500006,,17,0.5106234000000001,0.79087377,11.337660000000001,0.66741925,0,291.51514,27.0,0.0,89.0,37.0,0.0,5.0,0.0,25.840006,101333.664,0.0,0.0,20
21,21,21,141186943,1554223006200192,323875090,-1170763791,0.03,73,44,1.0630001,,17,0.5092557,0.79087377,11.39478,0.68081504,0,304.96872,26.0,0.0,93.0,36.0,0.0,5.0,0.0,25.840006,101334.016,0.0,0.0,21
22,22,22,142181718,1554223007200192,323875162,-1170763913,0.02,73,46,1.5870001,,17,0.5148052,0.79087377,11.365457000000001,0.67056924,0,326.2526,30.0,0.0,88.0,35.0,0.0,5.0,0.0,25.83751,101335.64,0.0,0.0,22
23,23,23,143191917,1554223008200192,323875242,-1170764021,0.02,73,55,0.76500005,,17,0.5105233,0.79087377,11.37669,0.6728404,0,333.1619,30.0,0.0,100.0,35.0,0.0,5.0,0.0,25.832518,101332.79,0.0,0.0,23
24,24,24,144188900,1554223009200192,323875298,-1170764024,0.02,73,45,0.546,,17,0.5078206000000001,0.79087377,11.31072,0.65742284,0,347.47213999999997,27.0,0.0,100.0,35.0,0.0,5.0,0.0,25.827524,101342.12,0.0,0.0,24
25,25,25,145193655,1554223010200192,323875291,-1170763952,0.02,73,37,1.1350001,,17,0.5110517,0.79087377,11.217038,0.6349352,0,361.59182999999996,27.0,0.0,82.0,35.0,0.0,5.0,0.0,25.810043,101355.305,0.0,0.0,25
26,26,26,146194907,1554223011200192,323875198,-1170763848,0.02,73,37,1.3180001000000001,,17,0.51328254,0.79087377,11.213664999999999,0.6328419,0,375.77814,29.0,0.0,96.0,35.0,0.0,5.0,0.0,25.752613,101363.1,0.0,0.0,26
27,27,27,147186397,1554223012200191,323875100,-1170763809,0.02,68,34,0.96900004,,17,0.5061072,0.79087377,11.138014,0.61283094,0,389.829,28.0,0.0,95.0,35.0,0.0,5.0,0.0,25.677704000000002,101359.22,0.0,0.0,27
28,28,28,148188883,1554223013200191,323875021,-1170763821,0.02,63,51,0.809,,17,0.5140259,0.79087377,11.188303999999999,0.62208205,0,403.97402999999997,29.0,0.0,92.0,53.0,0.0,5.0,0.0,25.610285,101349.984,0.0,0.0,28
29,29,29,149000917,1554223014000191,323874976,-1170763888,0.03,63,51,0.99000007,,17,0.5092863000000001,0.79087377,11.268531,0.6420172,0,418.17926,43.0,0.0,86.0,47.0,0.0,5.0,0.0,25.542866,101336.02,0.0,0.0,29
30,30,30,150192903,1554223015200191,323874989,-1170763948,0.02,59,41,0.67700005,,17,0.51644355,0.79087377,11.36636,0.66609937,0,431.4869,27.0,0.0,92.0,59.0,0.0,5.0,0.0,25.530379999999997,101326.53,0.0,0.0,30
31,31,31,151192900,1554223016200191,323875073,-1170763973,0.02,59,39,1.0250001,,17,0.5124068,0.79087377,11.214385,0.62490684,0,445.33176,31.0,0.0,96.0,65.0,0.0,5.0,0.0,25.550358,101343.0,0.0,0.0,31
32,32,32,152192882,1554223017200191,323875164,-1170763983,0.02,55,51,0.943,,17,0.5129423,0.79087377,11.207892,0.6293805,0,459.57235999999995,27.0,0.0,97.0,76.0,0.0,5.0,0.0,25.517897,101363.516,0.0,0.0,32
33,33,33,153192102,1554223018200191,323875212,-1170763940,0.02,55,50,0.9110001,,17,0.5166415,0.79087377,11.19431,0.62587816,0,473.61975,28.0,0.0,90.0,88.0,0.0,5.0,0.0,25.482939000000002,101374.664,0.0,0.0,33
34,34,34,154187594,1554223019200191,323875192,-1170763824,0.02,49,31,1.0200001,,17,0.5104188000000001,0.79087377,10.960892999999999,0.56361896,0,487.86425999999994,29.0,0.0,93.0,91.0,0.0,5.0,0.0,25.428003,101380.664,0.0,0.0,34
35,35,35,155188968,1554223020200190,323875112,-1170763765,0.02,49,31,0.63000005,,17,0.5112692,0.79087377,11.017069000000001,0.57660705,0,501.85614000000004,26.0,0.0,100.0,89.0,0.0,5.0,0.0,25.350597,101378.91,0.0,0.0,35
36,36,36,156190407,1554223021200190,323875047,-1170763792,0.02,53,47,0.643,,17,0.5185622999999999,0.79087377,11.085566,0.59338933,0,516.1139,29.0,0.0,100.0,91.0,0.0,5.0,0.0,25.290670000000002,101361.26,0.0,0.0,36
37,37,37,157182069,1554223022200190,323875031,-1170763867,0.03,57,49,0.98,,17,0.5150616,0.79087377,11.211296,0.62196094,0,529.25806,34.0,0.0,99.0,76.0,0.0,5.0,0.0,25.23324,101342.01,0.0,0.0,37
38,38,38,158182412,1554223023200190,323875070,-1170763992,0.03,57,37,1.5250001,,16,0.51731694,0.79087377,11.295392,0.64233285,0,542.91595,28.0,0.0,99.0,65.0,0.0,5.0,0.0,25.243229,101328.11,0.0,0.0,38
39,39,39,159184337,1554223024200190,323875150,-1170764095,0.02,61,37,1.284,,16,0.5078861,0.79087377,11.328169,0.65076905,0,556.1651,33.0,0.0,97.0,67.0,0.0,5.0,0.0,25.230743,101335.35,0.0,0.0,39
40,40,40,160185981,1554223025200190,323875238,-1170764149,0.02,61,71,0.98600006,,17,0.51627773,0.79087377,11.269069,0.63680965,0,570.4426,32.0,0.0,97.0,74.0,0.0,5.0,0.0,25.215760999999997,101357.56,0.0,0.0,40
41,41,41,161192909,1554223026200190,323875326,-1170764188,0.02,71,46,0.98,,17,0.50584215,0.79087377,11.193209,0.61887866,0,584.55646,29.0,0.0,99.0,80.0,0.0,5.0,0.0,25.223251,101387.0,0.0,0.0,41
