,Unnamed: 0,time,timestamp,time_utc_usec,lat,lon,alt,noise_per_ms,jamming_indicator,vel_m_s,heading,satellites_used,load,ram_usage,voltage_filtered_v,remaining,warning,discharged_mah,noise,remote_noise,txbuf,rssi,remote_rssi,rxerrors,fix,baro_temp_celcius,baro_pressure_pa,landed,ground_contact,time.1
0,0,0,57471124,1552674646400308,323873506,-1170765251,0.01,90,4,0.027000000000000003,,18,0.33917207,0.5004614000000001,11.1712675,0.61675054,0,0.0,48,66,100,104,107,2,0,25.3,101701.99,1.0,0.0,0
1,1,1,58073571,1552674647000308,323873508,-1170765250,0.01,90,4,0.051000002999999995,,18,0.5000415,0.5005602,11.109612,0.59237653,0,0.0,42,65,97,104,107,2,0,25.31,101705.0,1.0,0.0,1
2,2,2,59077130,1552674648000308,323873509,-1170765250,0.01,90,7,0.012,,18,0.44073647,0.5005602,11.035012,0.5629094,0,0.0,44,54,99,104,107,2,0,25.35,101704.0,1.0,0.0,2
3,3,3,60084165,1552674649000308,323873513,-1170765246,0.01,91,4,0.055000003,,18,0.441274,0.5005602,10.890962,0.5500973000000001,0,0.0,46,55,97,104,107,2,0,25.38,101704.0,1.0,0.0,3
4,4,4,61077239,1552674650000308,323873513,-1170765240,0.02,91,4,0.136,,18,0.43856835,0.5005602,10.858168,0.5934560999999999,0,0.0,43,58,100,118,122,2,0,25.41,101688.99,0.0,0.0,4
5,5,5,62073145,1552674651000308,323873504,-1170765241,0.02,87,6,0.22800002,,18,0.42817152,0.5005602,10.865953,0.62311774,0,0.0,47,67,100,137,135,2,0,25.439999,101679.0,0.0,0.0,5
6,6,6,63073640,1552674652000308,323873592,-1170765484,0.02,87,7,5.814,,18,0.46405548,0.5005602,10.663236999999999,0.6016148,0,0.0,49,61,97,152,155,2,0,25.47,101697.0,0.0,0.0,6
7,7,7,64080028,1552674653000308,323873945,-1170766208,0.02,87,6,8.833,,18,0.45871239999999996,0.5005602,10.590075500000001,0.5920890000000001,0,0.0,43,58,95,157,159,2,0,25.48,101654.0,0.0,0.0,7
8,8,8,65085141,1552674654000308,323874533,-1170766826,0.02,87,7,9.024,,18,0.47064054,0.5005602,10.545337,0.57890254,0,0.0,53,53,93,157,159,2,0,25.5,101640.0,0.0,0.0,8
9,9,9,66075568,1552674655000308,323875218,-1170767367,0.02,87,5,9.3220005,,18,0.45853752,0.5005602,10.537927,0.5779526999999999,0,0.0,42,67,99,152,152,2,0,25.49,101619.0,0.0,0.0,9
10,10,10,67074169,1552674656000308,323875934,-1170767918,0.03,87,6,9.633,,18,0.45828938,0.5005602,10.530623,0.5711549,0,0.0,51,57,100,150,152,2,0,25.46,101586.0,0.0,0.0,10
11,11,11,68072232,1552674657000308,323876668,-1170768474,0.03,87,8,9.802,,18,0.45878613,0.5005602,10.542187,0.5708044,0,0.0,48,61,100,148,149,2,0,25.43,101557.0,0.0,0.0,11
12,12,12,69074553,1552674658000309,323877422,-1170769039,0.03,87,7,10.026,,18,0.44570434,0.5005602,10.500528,0.5475982,0,0.0,42,70,89,146,147,2,0,25.38,101535.0,0.0,0.0,12
13,13,13,70075464,1552674659000309,323878193,-1170769601,0.03,87,4,10.074,,18,0.44048786,0.5005602,10.523463000000001,0.5511524999999999,0,0.0,52,63,93,143,144,2,0,25.35,101523.0,0.0,0.0,13
14,14,14,71075217,1552674660000309,323878964,-1170770162,0.03,87,5,10.204,,18,0.42688853,0.5005602,10.52012,0.54513437,0,0.0,45,54,99,139,140,2,0,25.31,101509.0,0.0,0.0,14
15,15,15,72074146,1552674661000309,323879740,-1170770733,0.03,87,7,10.186001,,18,0.44137788,0.5005602,10.537315,0.5507124,0,0.0,47,63,97,134,137,2,0,25.25,101500.99,0.0,0.0,15
16,16,16,73074743,1552674662000309,323880508,-1170771308,0.03,88,7,9.959000999999999,,18,0.45788425,0.5005602,10.511482,0.54116327,0,0.0,40,59,100,132,134,2,0,25.199999,101473.0,0.0,0.0,16
17,17,17,74074227,1552674663000309,323881156,-1170772004,0.04,88,7,9.599001,,18,0.46684957,0.5005602,10.53273,0.5459401999999999,0,0.0,39,52,100,125,128,2,0,25.14,101478.0,0.0,0.0,17
18,18,18,75074590,1552674664000309,323881582,-1170772894,0.04,89,6,9.825001,,18,0.46362752,0.5005602,10.552889,0.5539883000000001,0,0.0,45,57,84,125,126,2,0,25.07,101450.99,0.0,0.0,18
19,19,19,76075622,1552674665000309,323881955,-1170773836,0.04,89,14,9.9140005,,18,0.45418173,0.5005602,10.586133,0.55776817,0,0.0,49,67,93,125,126,2,0,25.0,101440.0,0.0,0.0,19
20,20,20,77077055,1552674666000309,323882375,-1170774759,0.04,89,5,9.568999999999999,,18,0.45842332,0.5005602,10.531566,0.53759223,0,0.0,48,57,97,125,127,2,0,24.92,101459.0,0.0,0.0,20
21,21,21,78076172,1552674667000309,323883130,-1170775138,0.04,89,7,9.574,,18,0.62157476,0.5005602,10.533489,0.5403703000000001,0,0.0,44,63,95,124,127,2,0,24.84,101440.0,0.0,0.0,21
22,22,22,79073595,1552674668000309,323883788,-1170774588,0.04,89,7,10.168,,18,0.7128445,0.5005602,10.549884,0.5374281999999999,0,0.0,50,57,97,117,116,2,0,24.769999,101446.0,0.0,0.0,22
23,23,23,80073945,1552674669000309,323883845,-1170773481,0.04,89,15,10.108001,,18,0.47564209,0.5005602,10.602742999999998,0.5436714,0,0.0,43,65,87,116,116,2,0,24.689999,101457.99,0.0,0.0,23
24,24,24,81081212,1552674670000309,323883712,-1170772571,0.04,89,10,6.169,,18,0.4675752,0.5005602,10.646733,0.56144935,0,0.0,45,64,100,115,116,2,0,24.6,101434.0,0.0,0.0,24
25,25,25,82070176,1552674671000309,323883671,-1170772277,0.04,89,6,0.53900003,,18,0.45827436,0.5005602,10.622060000000001,0.5502928,0,0.0,50,52,100,115,117,2,0,24.539998999999998,101436.0,0.0,0.0,25
26,26,26,83077090,1552674672000309,323883688,-1170772255,0.04,83,4,0.62600005,,18,0.46603906,0.5015159,10.557783,0.5359156999999999,0,0.0,48,65,100,115,119,2,0,24.46,101432.0,0.0,0.0,26
27,27,27,84075121,1552674673000309,323883660,-1170772203,0.04,83,4,0.29100000000000004,,18,0.46472973,0.5015159,10.584793,0.5459493000000001,0,0.0,43,54,97,115,117,2,0,24.41,101412.0,0.0,0.0,27
28,28,28,85076220,1552674674000309,323883648,-1170772206,0.04,77,3,0.21000001,,18,0.51078343,0.5015159,10.599356,0.548786,0,0.0,54,63,96,115,117,2,0,24.359999,101386.0,0.0,0.0,28
29,29,29,86075174,1552674675000309,323883643,-1170772223,0.05,72,5,0.21100001,,18,0.46240813,0.5015159,10.654501,0.56149274,0,0.0,54,63,100,115,117,2,0,24.32,101362.0,0.0,0.0,29
30,30,30,87075201,1552674676000309,323883644,-1170772228,0.05,67,6,0.078,,17,0.44105559999999994,0.5015159,10.675685000000001,0.56147844,0,0.0,51,61,87,115,117,2,0,24.289998999999998,101349.0,0.0,0.0,30
31,31,31,88079176,1552674677000309,323883653,-1170772225,0.05,62,2,0.047000002,,18,0.43444514,0.5015159,10.679993,0.56200486,0,0.0,46,54,99,116,118,2,0,24.26,101350.0,0.0,0.0,31
32,32,32,89074179,1552674678000309,323883663,-1170772237,0.05,58,6,0.059000004,,18,0.42661875,0.5015159,10.670183999999999,0.55905753,0,0.0,43,58,97,117,120,2,0,24.24,101348.0,0.0,0.0,32
33,33,33,90075535,1552674679000309,323883649,-1170772236,0.05,67,6,1.3230001,,18,0.46268737,0.5015159,10.697159,0.5691741,0,0.0,49,56,100,118,120,2,0,24.22,101332.99,0.0,0.0,33
34,34,34,91080208,1552674680000309,323883382,-1170772088,0.05,67,5,4.835,,18,0.45377517,0.5015159,10.662686,0.56432945,0,0.0,53,63,89,120,122,2,0,24.199999,101354.0,0.0,0.0,34
35,35,35,92075123,1552674681000309,323882964,-1170771852,0.05,67,1,5.209,,18,0.4632128,0.5015159,10.6634445,0.5681451,0,0.0,46,56,100,120,122,2,0,24.189999,101357.0,0.0,0.0,35
36,36,36,93067224,1552674682000309,323882558,-1170771617,0.05,67,1,5.102,,18,0.46398133,0.5015159,10.653319999999999,0.56110173,0,0.0,49,65,100,121,125,2,0,24.18,101344.99,0.0,0.0,36
