,Unnamed: 0,Unnamed: 0.1,timestamp,time_utc_usec,lat,lon,alt,noise_per_ms,jamming_indicator,vel_m_s,heading,satellites_used,load,ram_usage,voltage_filtered_v,remaining,warning,discharged_mah,noise,remote_noise,txbuf,rssi,remote_rssi,rxerrors,fix,baro_temp_celcius,baro_pressure_pa,landed,ground_contact,time
0,0,0,58467043,1554314152599900,323873755,-1170763742,0.02,76,5,0.027999999999999997,,18,0.30659372,0.46021128,12.361506,0.93437463,0,0.54573125,62.0,74.0,100.0,194.0,199.0,116.0,0.0,43.04,101816.0,1.0,0.0,0
1,1,1,59077023,1554314153199900,323873756,-1170763743,0.02,75,8,0.032,,18,0.48990452,0.64110917,12.314199,0.909035,0,1.2548791000000001,61.0,70.0,97.0,194.0,199.0,116.0,0.0,43.05,101830.0,1.0,0.0,1
2,2,2,60082126,1554314154199900,323873761,-1170763747,0.02,75,5,0.08800001,,18,0.38495229999999997,0.64110917,12.269860000000001,0.884126,0,2.5496907,65.0,70.0,99.0,194.0,199.0,116.0,0.0,43.05,101821.0,0.0,0.0,2
3,3,3,61074223,1554314155199899,323873758,-1170763731,0.02,75,5,0.46800002,,18,0.3818655,0.64110917,11.993513,0.84508353,0,7.525562299999999,63.0,68.0,97.0,196.0,199.0,116.0,0.0,43.05,101817.0,0.0,0.0,3
4,4,4,62083606,1554314156199899,323873881,-1170763637,0.02,81,13,3.6390002,,18,0.41159183,0.64110917,11.854832,0.82945853,0,12.592458,103.0,101.0,99.0,208.0,215.0,116.0,0.0,43.059998,101799.0,0.0,0.0,4
5,5,5,63083942,1554314157199898,323874288,-1170763472,0.02,81,10,5.6650004,,19,0.41948348,0.64110917,11.809887,0.82139236,0,17.445717000000002,60.0,74.0,92.0,203.0,209.0,116.0,0.0,43.059998,101780.0,0.0,0.0,5
6,6,6,64082278,1554314158199898,323874911,-1170763393,0.02,80,7,8.475,,19,0.43240118,0.64110917,11.749413,0.81133443,0,22.58439,64.0,74.0,96.0,197.0,202.0,116.0,0.0,43.059998,101771.0,0.0,0.0,6
7,7,7,65077122,1554314159199898,323875750,-1170763311,0.02,81,12,9.769,,19,0.43121868,0.64110917,11.740541,0.80772287,0,27.538497999999997,63.0,74.0,100.0,189.0,195.0,116.0,0.0,43.07,101763.0,0.0,0.0,7
8,8,8,66078087,1554314160199897,323876639,-1170763211,0.02,81,8,10.158000999999999,,19,0.42376357,0.64110917,11.762583,0.8102463000000001,0,31.879799,70.0,71.0,96.0,175.0,179.0,116.0,0.0,43.079997999999996,101753.0,0.0,0.0,8
9,9,9,67086098,1554314161199897,323877537,-1170763156,0.03,81,5,9.7630005,,19,0.43063194,0.64110917,11.722164,0.7988860999999999,0,36.75140800000001,63.0,71.0,100.0,170.0,174.0,116.0,0.0,43.079997999999996,101749.0,0.0,0.0,9
