timestamp,timestamp_sample,control[0],control[1],control[2],control[3],control[4],control[5],control[6],control[7]
30359431,30359310,-0.12246952,0.06247065,-0.0018325062,0.0,0.0,0.0,0.0,-1.0
30463479,30463302,-0.12264775,0.062778264,-0.0015112043,0.0,0.0,0.0,0.0,-1.0
30580249,30580106,-0.122804604,0.06261121,-0.0018166339,0.0,0.0,0.0,0.0,-1.0
30684295,30684119,-0.12278043,0.06311555,-0.0016936598,0.0,0.0,0.0,0.0,-1.0
30785036,30784902,-0.1221561,0.0629246,-0.0017147746,0.0,0.0,0.0,0.0,-1.0
30885031,30884902,-0.1227713,0.063240916,-0.0016852929,0.0,0.0,0.0,0.0,-1.0
30989844,30989702,-0.123140715,0.06342254,-0.0018835821,0.0,0.0,0.0,0.0,-1.0
31089834,31089702,-0.12266612,0.06314423,-0.0015840544,0.0,0.0,0.0,0.0,-1.0
31190634,31190502,-0.12225305,0.062452376,-0.002060958,0.0,0.0,0.0,0.0,-1.0
31290693,31290502,-0.1228889,0.063294366,-0.0014304566,0.0,0.0,0.0,0.0,-1.0
32347434,32347302,-0.122333616,0.063503586,-0.0020886394,0.0,0.0,0.0,0.0,-1.0
32447478,32447302,-0.12228913,0.06386373,-0.0017149067,0.0,0.0,0.0,0.0,-1.0
32548235,32548106,-0.12230249,0.06377497,-0.0019811005,0.0,0.0,0.0,0.0,-1.0
32652298,32652106,-0.12231389,0.06360803,-0.0017531296,0.0,0.0,0.0,0.0,-1.0
32753104,32752904,-0.1221806,0.063667156,-0.0015484857,0.0,0.0,0.0,0.0,-1.0
32853045,32852903,-0.12157022,0.06385652,-0.0022492865,0.0,0.0,0.0,0.0,-1.0
32953976,32953702,-0.12162594,0.0638498,-0.0018609634,0.0,0.0,0.0,0.0,-1.0
33057832,33057702,-0.12198263,0.063875146,-0.00175898,0.0,0.0,0.0,0.0,-1.0
33158680,33158502,-0.12234894,0.06397576,-0.0016502546,0.0,0.0,0.0,0.0,-1.0
33258631,33258502,-0.12229076,0.06436723,-0.0014704061,0.0,0.0,0.0,0.0,-1.0
33359475,33359303,-0.12203701,0.06349622,-0.0016545797,0.0,0.0,0.0,0.0,-1.0
33463472,33463302,-0.12233165,0.06397028,-0.0017545699,0.0,0.0,0.0,0.0,-1.0
33564292,33564106,-0.12237489,0.06369702,-0.0015567344,0.0,0.0,0.0,0.0,-1.0
33664247,33664109,-0.122802965,0.06366785,-0.0018548124,0.0,0.0,0.0,0.0,-1.0
33765032,33764902,-0.1218887,0.06400711,-0.001728445,0.0,0.0,0.0,0.0,-1.0
33869091,33868902,-0.12187697,0.063793786,-0.002099312,0.0,0.0,0.0,0.0,-1.0
33969872,33969702,-0.12189865,0.06446095,-0.0017917433,0.0,0.0,0.0,0.0,-1.0
34069881,34069703,-0.1217095,0.06389802,-0.0017774388,0.0,0.0,0.0,0.0,-1.0
34174783,34174503,-0.121616475,0.06399886,-0.0017689816,0.0,0.0,0.0,0.0,-1.0
34274675,34274505,-0.12202373,0.06353105,-0.0016552915,0.0,0.0,0.0,0.0,-1.0
34375477,34375306,-0.122548334,0.064178385,-0.001676626,0.0,0.0,0.0,0.0,-1.0
34475472,34475302,-0.12156196,0.06436481,-0.001694373,0.0,0.0,0.0,0.0,-1.0
34580284,34580106,-0.12166046,0.06416863,-0.0017176546,0.0,0.0,0.0,0.0,-1.0
34681032,34680902,-0.12239092,0.06473723,-0.001438901,0.0,0.0,0.0,0.0,-1.0
34781032,34780902,-0.12203566,0.06370994,-0.0017267631,0.0,0.0,0.0,0.0,-1.0
34882088,34881702,-0.12209349,0.06465218,-0.0016836617,0.0,0.0,0.0,0.0,-1.0
34985873,34985702,-0.12271064,0.06429902,-0.0014100069,0.0,0.0,0.0,0.0,-1.0
35085834,35085702,-0.1225508,0.06407278,-0.0016780264,0.0,0.0,0.0,0.0,-1.0
35186707,35186507,-0.12214487,0.06340321,-0.0016906057,0.0,0.0,0.0,0.0,-1.0
35287464,35287302,-0.12245656,0.06419782,-0.0018798646,0.0,0.0,0.0,0.0,-1.0
35391511,35391332,-0.1215967,0.064417854,-0.0018555955,0.0,0.0,0.0,0.0,-1.0
35492285,35492107,-0.121985085,0.064719275,-0.0017801917,0.0,0.0,0.0,0.0,-1.0
35592298,35592106,-0.12228139,0.06475659,-0.001616608,0.0,0.0,0.0,0.0,-1.0
35697028,35696902,-0.12191755,0.06445714,-0.0018195579,0.0,0.0,0.0,0.0,-1.0
35797090,35796903,-0.122199155,0.06479223,-0.0019798803,0.0,0.0,0.0,0.0,-1.0
35897836,35897702,-0.1221385,0.064896226,-0.0016237958,0.0,0.0,0.0,0.0,-1.0
36001885,36001702,-0.12257744,0.0641136,-0.0015382176,0.0,0.0,0.0,0.0,-1.0
36102640,36102502,-0.122745596,0.064259216,-0.0016063832,0.0,0.0,0.0,0.0,-1.0
36202632,36202502,-0.1219327,0.064456075,-0.0019446978,0.0,0.0,0.0,0.0,-1.0
36303481,36303303,-0.12145111,0.06437121,-0.0022827038,0.0,0.0,0.0,0.0,-1.0
36407472,36407302,-0.12192632,0.063821405,-0.0016766983,0.0,0.0,0.0,0.0,-1.0
36508247,36508106,-0.12178476,0.064692326,-0.0018607473,0.0,0.0,0.0,0.0,-1.0
36608288,36608106,-0.12191533,0.06507286,-0.0019503409,0.0,0.0,0.0,0.0,-1.0
36709031,36708902,-0.12195189,0.06463868,-0.0018844588,0.0,0.0,0.0,0.0,-1.0
36813089,36812902,-0.12219657,0.06463833,-0.0016875569,0.0,0.0,0.0,0.0,-1.0
36913877,36913705,-0.122000985,0.064655095,-0.001748105,0.0,0.0,0.0,0.0,-1.0
37013881,37013702,-0.12220723,0.064635254,-0.0019388052,0.0,0.0,0.0,0.0,-1.0
37114693,37114502,-0.122542605,0.06457027,-0.0015534111,0.0,0.0,0.0,0.0,-1.0
37218679,37218502,-0.12181094,0.06409355,-0.0015767512,0.0,0.0,0.0,0.0,-1.0
37319423,37319302,-0.12155108,0.06412999,-0.001864542,0.0,0.0,0.0,0.0,-1.0
37419485,37419304,-0.122042045,0.06457615,-0.0014875582,0.0,0.0,0.0,0.0,-1.0
37524296,37524106,-0.12150184,0.0650201,-0.0019137107,0.0,0.0,0.0,0.0,-1.0
37624285,37624106,-0.12160803,0.064533964,-0.001787445,0.0,0.0,0.0,0.0,-1.0
37725094,37724904,-0.122133695,0.06466689,-0.0016054143,0.0,0.0,0.0,0.0,-1.0
37825081,37824902,-0.12166455,0.06527444,-0.0017975635,0.0,0.0,0.0,0.0,-1.0
37929880,37929705,-0.12146586,0.065345235,-0.0017649201,0.0,0.0,0.0,0.0,-1.0
38029872,38029702,-0.12156043,0.06459141,-0.0021126708,0.0,0.0,0.0,0.0,-1.0
38130638,38130502,-0.121390305,0.06530222,-0.0019481501,0.0,0.0,0.0,0.0,-1.0
38234696,38234504,-0.121731274,0.06518216,-0.001924961,0.0,0.0,0.0,0.0,-1.0
38335471,38335303,-0.12187197,0.064895496,-0.0015732617,0.0,0.0,0.0,0.0,-1.0
38435481,38435303,-0.12221777,0.065941654,-0.0014648286,0.0,0.0,0.0,0.0,-1.0
38536285,38536106,-0.12189245,0.06514132,-0.001763247,0.0,0.0,0.0,0.0,-1.0
38640295,38640106,-0.12127253,0.06542416,-0.0019399412,0.0,0.0,0.0,0.0,-1.0
38741084,38740904,-0.12204954,0.06500821,-0.0015158057,0.0,0.0,0.0,0.0,-1.0
38841083,38840905,-0.12196163,0.06516402,-0.0018240992,0.0,0.0,0.0,0.0,-1.0
38941847,38941702,-0.12141527,0.06482837,-0.001936475,0.0,0.0,0.0,0.0,-1.0
39045871,39045702,-0.12166522,0.06493151,-0.0020942416,0.0,0.0,0.0,0.0,-1.0
39146684,39146505,-0.121774726,0.0646208,-0.0020653792,0.0,0.0,0.0,0.0,-1.0
39246683,39246502,-0.12163295,0.06495985,-0.0019111794,0.0,0.0,0.0,0.0,-1.0
39347431,39347310,-0.12185063,0.0651861,-0.0017954807,0.0,0.0,0.0,0.0,-1.0
39451486,39451308,-0.12188024,0.06520193,-0.0014769608,0.0,0.0,0.0,0.0,-1.0
39552286,39552106,-0.12203538,0.065428264,-0.0018155163,0.0,0.0,0.0,0.0,-1.0
39652303,39652106,-0.12161594,0.065319285,-0.0017314698,0.0,0.0,0.0,0.0,-1.0
39757082,39756902,-0.121649235,0.06538085,-0.0018746498,0.0,0.0,0.0,0.0,-1.0
39857090,39856903,-0.12176261,0.06522488,-0.0018299603,0.0,0.0,0.0,0.0,-1.0
39957835,39957702,-0.121602386,0.064436466,-0.0022374687,0.0,0.0,0.0,0.0,-1.0
40061984,40061703,-0.12242423,0.06528099,-0.0019532642,0.0,0.0,0.0,0.0,-1.0
40162674,40162502,-0.121396944,0.06533753,-0.0018918964,0.0,0.0,0.0,0.0,-1.0
40262633,40262502,-0.1213634,0.065071076,-0.0019891693,0.0,0.0,0.0,0.0,-1.0
40363431,40363308,-0.122260325,0.06519514,-0.0015431986,0.0,0.0,0.0,0.0,-1.0
40467480,40467310,-0.12160051,0.06473289,-0.0017432368,0.0,0.0,0.0,0.0,-1.0
40568294,40568106,-0.12222216,0.065319955,-0.0015370417,0.0,0.0,0.0,0.0,-1.0
40668289,40668109,-0.121734604,0.06504714,-0.00209948,0.0,0.0,0.0,0.0,-1.0
40769082,40768904,-0.12158742,0.065494314,-0.0019785417,0.0,0.0,0.0,0.0,-1.0
40873087,40872906,-0.122079454,0.06531298,-0.0015572801,0.0,0.0,0.0,0.0,-1.0
40973838,40973702,-0.12107123,0.065140754,-0.0020078213,0.0,0.0,0.0,0.0,-1.0
41073881,41073704,-0.12131822,0.06507557,-0.0019878498,0.0,0.0,0.0,0.0,-1.0
41174683,41174502,-0.12160518,0.06473249,-0.0018279178,0.0,0.0,0.0,0.0,-1.0
41278636,41278502,-0.121343166,0.06490933,-0.0019746872,0.0,0.0,0.0,0.0,-1.0
41379474,41379302,-0.121565126,0.06512214,-0.0017686869,0.0,0.0,0.0,0.0,-1.0
41479477,41479305,-0.121760264,0.06512426,-0.0018248755,0.0,0.0,0.0,0.0,-1.0
41584302,41584106,-0.122098334,0.064973086,-0.0014889892,0.0,0.0,0.0,0.0,-1.0
41684280,41684109,-0.12195261,0.065476805,-0.0017242226,0.0,0.0,0.0,0.0,-1.0
41785057,41784919,-0.121851854,0.064306125,-0.0018612471,0.0,0.0,0.0,0.0,-1.0
41885089,41884902,-0.12131475,0.06544043,-0.0017517324,0.0,0.0,0.0,0.0,-1.0
41989837,41989702,-0.121042386,0.064807974,-0.0020339026,0.0,0.0,0.0,0.0,-1.0
42089835,42089702,-0.12155735,0.065143935,-0.0020147462,0.0,0.0,0.0,0.0,-1.0
42190635,42190502,-0.12175783,0.064822264,-0.0020625202,0.0,0.0,0.0,0.0,-1.0
42294684,42294502,-0.12118076,0.06489768,-0.0019998609,0.0,0.0,0.0,0.0,-1.0
42395470,42395302,-0.12108957,0.06576475,-0.0020869258,0.0,0.0,0.0,0.0,-1.0
42495471,42495303,-0.121387474,0.06524422,-0.0015888648,0.0,0.0,0.0,0.0,-1.0
42596235,42596106,-0.12146842,0.06563234,-0.0017020936,0.0,0.0,0.0,0.0,-1.0
42700297,42700109,-0.12173221,0.06522672,-0.0014945813,0.0,0.0,0.0,0.0,-1.0
42801129,42800939,-0.12189825,0.06498156,-0.0017934709,0.0,0.0,0.0,0.0,-1.0
42901088,42900902,-0.12111566,0.06502438,-0.0019748898,0.0,0.0,0.0,0.0,-1.0
43001840,43001702,-0.121370636,0.06556961,-0.0018215593,0.0,0.0,0.0,0.0,-1.0
43105874,43105702,-0.121547714,0.065006115,-0.0020396388,0.0,0.0,0.0,0.0,-1.0
43206638,43206502,-0.12140327,0.065640844,-0.0017707145,0.0,0.0,0.0,0.0,-1.0
43306683,43306502,-0.12165808,0.06470619,-0.0016560234,0.0,0.0,0.0,0.0,-1.0
43407474,43407303,-0.12106326,0.06507404,-0.0021430012,0.0,0.0,0.0,0.0,-1.0
43511460,43511335,-0.12132251,0.065273404,-0.0016849263,0.0,0.0,0.0,0.0,-1.0
43612236,43612106,-0.12097741,0.06558258,-0.002104197,0.0,0.0,0.0,0.0,-1.0
43712300,43712106,-0.1216154,0.06581675,-0.0015491939,0.0,0.0,0.0,0.0,-1.0
43817075,43816903,-0.12155968,0.0655382,-0.0018522979,0.0,0.0,0.0,0.0,-1.0
43917090,43916904,-0.1214396,0.06557645,-0.0016969431,0.0,0.0,0.0,0.0,-1.0
44017872,44017702,-0.12140279,0.06547455,-0.0019050922,0.0,0.0,0.0,0.0,-1.0
44121887,44121703,-0.12141631,0.06583357,-0.0017889695,0.0,0.0,0.0,0.0,-1.0
44222672,44222502,-0.12169245,0.06500613,-0.0016619487,0.0,0.0,0.0,0.0,-1.0
44322672,44322502,-0.121591166,0.06535205,-0.0020580974,0.0,0.0,0.0,0.0,-1.0
44423430,44423307,-0.121777296,0.0656657,-0.0016602218,0.0,0.0,0.0,0.0,-1.0
44527472,44527310,-0.121338286,0.06567786,-0.0018150191,0.0,0.0,0.0,0.0,-1.0
44628238,44628106,-0.12193544,0.06563582,-0.0017862779,0.0,0.0,0.0,0.0,-1.0
44728295,44728106,-0.12153132,0.065480836,-0.0018083198,0.0,0.0,0.0,0.0,-1.0
44829083,44828904,-0.121452145,0.06524155,-0.00189584,0.0,0.0,0.0,0.0,-1.0
44933082,44932902,-0.121817656,0.065356135,-0.0019089985,0.0,0.0,0.0,0.0,-1.0
45033874,45033702,-0.12135263,0.06578132,-0.0018507396,0.0,0.0,0.0,0.0,-1.0
