timestamp,accel_inconsistency_m_s_s,gyro_inconsistency_rad_s,mag_inconsistency_ga
30360418,0.0,0.0,0.0
30781558,0.0,0.0,0.0
30987005,0.0,0.0,0.0
31187751,0.0,0.0,0.0
32347910,0.0,0.0,0.0
32548708,0.0,0.0,0.0
32754426,0.0,0.0,0.0
32955021,0.0,0.0,0.0
33159240,0.0,0.0,0.0
33360274,0.0,0.0,0.0
33560743,0.0,0.0,0.0
33765792,0.0,0.0,0.0
33966672,0.0,0.0,0.0
34171090,0.0,0.0,0.0
34372317,0.0,0.0,0.0
34577014,0.0,0.0,0.0
34778130,0.0,0.0,0.0
34979233,0.0,0.0,0.0
35179716,0.0,0.0,0.0
35380554,0.0,0.0,0.0
35585034,0.0,0.0,0.0
35785838,0.0,0.0,0.0
35990590,0.0,0.0,0.0
36192034,0.0,0.0,0.0
36392460,0.0,0.0,0.0
36596708,0.0,0.0,0.0
36797563,0.0,0.0,0.0
37003534,0.0,0.0,0.0
37203516,0.0,0.0,0.0
37408408,0.0,0.0,0.0
37609033,0.0,0.0,0.0
37809532,0.0,0.0,0.0
38014607,0.0,0.0,0.0
38215518,0.0,0.0,0.0
38420329,0.0,0.0,0.0
38621008,0.0,0.0,0.0
38825966,0.0,0.0,0.0
39026890,0.0,0.0,0.0
39227744,0.0,0.0,0.0
39432316,0.0,0.0,0.0
39632698,0.0,0.0,0.0
39838538,0.0,0.0,0.0
40038674,0.0,0.0,0.0
40243100,0.0,0.0,0.0
40443938,0.0,0.0,0.0
40649599,0.0,0.0,0.0
40850088,0.0,0.0,0.0
41050616,0.0,0.0,0.0
41255101,0.0,0.0,0.0
41455952,0.0,0.0,0.0
41661024,0.0,0.0,0.0
41862443,0.0,0.0,0.0
42066328,0.0,0.0,0.0
42267098,0.0,0.0,0.0
42472325,0.0,0.0,0.0
42673410,0.0,0.0,0.0
42874046,0.0,0.0,0.0
43078637,0.0,0.0,0.0
43279097,0.0,0.0,0.0
43484167,0.0,0.0,0.0
43685408,0.0,0.0,0.0
43886290,0.0,0.0,0.0
44090660,0.0,0.0,0.0
44291121,0.0,0.0,0.0
44496581,0.0,0.0,0.0
44697030,0.0,0.0,0.0
44901620,0.0,0.0,0.0
45102325,0.0,0.0,0.0
45303155,0.0,0.0,0.0
45508203,0.0,0.0,0.0
45709387,0.0,0.0,0.0
45913916,0.0,0.0,0.0
46114621,0.0,0.0,0.0
46320282,0.0,0.0,0.0
46521001,0.0,0.0,0.0
46721757,0.0,0.0,0.0
46922282,0.0,0.0,0.0
47123077,0.0,0.0,0.0
47327905,0.0,0.0,0.0
47528544,0.0,0.0,0.0
47737319,0.0,0.0,0.0
47938146,0.0,0.0,0.0
48142751,0.0,0.0,0.0
48343737,0.0,0.0,0.0
48544369,0.0,0.0,0.0
48745745,0.0,0.0,0.0
48946420,0.0,0.0,0.0
49150787,0.0,0.0,0.0
49351522,0.0,0.0,0.0
49552687,0.0,0.0,0.0
49757527,0.0,0.0,0.0
49957646,0.0,0.0,0.0
50158155,0.0,0.0,0.0
50362744,0.0,0.0,0.0
50563564,0.0,0.0,0.0
50769826,0.0,0.0,0.0
50971052,0.0,0.0,0.0
51174076,0.0,0.0,0.0
51374882,0.0,0.0,0.0
