timestamp,baro_alt_meter,baro_temp_celcius,baro_pressure_pa,rho
30385409,-62.009956,26.15,102072.0,1.2127842
30396329,-61.34409,26.15,102063.99,1.212689
30408515,-60.598957,26.15,102055.0,1.2125822
30431560,-61.428646,26.15,102065.0,1.2127011
30442253,-62.25833,26.15,102075.0,1.2128198
30452447,-61.180267,26.15,102062.0,1.2126654
30567256,-62.422157,26.16,102076.99,1.2128435
30617377,-61.09571,26.16,102061.0,1.2126535
30629265,-61.75629,26.16,102069.0,1.2127485
30641416,-61.75629,26.16,102069.0,1.2127485
30665092,-62.422157,26.17,102076.99,1.2128435
30675373,-61.34409,26.17,102063.99,1.212689
30686261,-61.840847,26.17,102069.99,1.2127603
30710091,-61.75629,26.17,102069.0,1.2127485
30721823,-61.59247,26.17,102067.0,1.2127248
30732267,-61.259537,26.17,102063.0,1.2126772
30756265,-61.428646,26.17,102065.0,1.2127011
30767253,-61.259537,26.17,102063.0,1.2126772
30778331,-61.428646,26.17,102065.0,1.2127011
30803074,-61.5132,26.17,102066.0,1.2127129
30814273,-62.089226,26.17,102073.0,1.2127961
30825817,-61.34409,26.17,102063.99,1.212689
30850236,-61.259537,26.18,102063.0,1.2126772
30860256,-61.840847,26.18,102069.99,1.2127603
30871255,-61.34409,26.18,102063.99,1.212689
30893870,-62.009956,26.18,102072.0,1.2127842
30905273,-61.09571,26.18,102061.0,1.2126535
30916264,-61.67702,26.18,102068.0,1.2127367
30937262,-62.089226,26.18,102073.0,1.2127961
30949265,-60.768066,26.18,102057.0,1.212606
30960265,-60.768066,26.18,102057.0,1.212606
30983299,-61.259537,26.189999,102063.0,1.2126772
30994968,-61.75629,26.189999,102069.0,1.2127485
31006655,-61.59247,26.189999,102067.0,1.2127248
31030785,-61.67702,26.189999,102068.0,1.2127367
31042828,-60.847336,26.189999,102057.99,1.2126178
31053256,-61.180267,26.189999,102062.0,1.2126654
31075633,-61.09571,26.189999,102061.0,1.2126535
31087334,-61.34409,26.189999,102063.99,1.212689
31099345,-61.34409,26.189999,102063.99,1.212689
31123773,-61.59247,26.199999,102067.0,1.2127248
31135466,-62.009956,26.199999,102072.0,1.2127842
31146301,-61.180267,26.199999,102062.0,1.2126654
31169256,-61.9254,26.199999,102071.0,1.2127724
31180278,-61.09571,26.199999,102061.0,1.2126535
31190253,-60.847336,26.199999,102057.99,1.2126178
31214256,-61.01644,26.21,102060.0,1.2126416
31226267,-61.59247,26.21,102067.0,1.2127248
31237273,-61.67702,26.21,102068.0,1.2127367
31260042,-61.34409,26.21,102063.99,1.212689
31271339,-62.009956,26.21,102072.0,1.2127842
31282272,-61.01644,26.21,102060.0,1.2126416
31307253,-62.17378,26.21,102074.0,1.212808
31319560,-61.34409,26.21,102063.99,1.212689
31330309,-60.847336,26.21,102057.99,1.2126178
31351606,-62.009956,26.21,102072.0,1.2127842
32361211,-61.59247,26.289999,102067.0,1.2127248
32372325,-61.34409,26.289999,102063.99,1.212689
32383664,-61.75629,26.289999,102069.0,1.2127485
32406253,-60.68351,26.279999,102056.0,1.2125942
32416588,-61.01644,26.279999,102060.0,1.2126416
32428257,-61.428646,26.279999,102065.0,1.2127011
32451600,-61.259537,26.289999,102063.0,1.2126772
32463663,-60.519688,26.289999,102054.0,1.2125703
32475654,-61.67702,26.289999,102068.0,1.2127367
32498261,-61.34409,26.3,102063.99,1.212689
32509263,-61.75629,26.3,102069.0,1.2127485
32519256,-60.847336,26.3,102057.99,1.2126178
32543312,-60.768066,26.3,102057.0,1.212606
32557057,-60.768066,26.3,102057.0,1.212606
32569393,-61.180267,26.3,102062.0,1.2126654
32591311,-61.34409,26.3,102063.99,1.212689
32605074,-61.09571,26.3,102061.0,1.2126535
32615320,-61.59247,26.3,102067.0,1.2127248
32641968,-61.180267,26.3,102062.0,1.2126654
32653266,-61.9254,26.3,102071.0,1.2127724
32665176,-61.59247,26.3,102067.0,1.2127248
32689229,-60.768066,26.3,102057.0,1.212606
32700340,-61.75629,26.3,102069.0,1.2127485
32711344,-61.180267,26.3,102062.0,1.2126654
32733553,-61.428646,26.31,102065.0,1.2127011
32744268,-61.259537,26.31,102063.0,1.2126772
32755347,-61.01644,26.31,102060.0,1.2126416
32778177,-61.5132,26.31,102066.0,1.2127129
32788253,-61.09571,26.31,102061.0,1.2126535
32800272,-61.428646,26.31,102065.0,1.2127011
32825820,-60.598957,26.31,102055.0,1.2125822
32837542,-61.840847,26.31,102069.99,1.2127603
32850204,-61.34409,26.31,102063.99,1.212689
32872259,-61.259537,26.32,102063.0,1.2126772
32885866,-61.5132,26.32,102066.0,1.2127129
32897257,-61.75629,26.32,102069.0,1.2127485
32920259,-61.34409,26.32,102063.99,1.212689
32931256,-61.428646,26.32,102065.0,1.2127011
32942344,-62.009956,26.32,102072.0,1.2127842
32965257,-61.428646,26.32,102065.0,1.2127011
32977271,-61.9254,26.32,102071.0,1.2127724
32989323,-61.34409,26.32,102063.99,1.212689
33011148,-61.5132,26.33,102066.0,1.2127129
33022388,-61.428646,26.33,102065.0,1.2127011
33033254,-61.67702,26.33,102068.0,1.2127367
33056259,-61.75629,26.34,102069.0,1.2127485
33067864,-61.59247,26.34,102067.0,1.2127248
33079339,-61.34409,26.34,102063.99,1.212689
33103467,-61.428646,26.34,102065.0,1.2127011
33115746,-61.5132,26.34,102066.0,1.2127129
33126255,-60.598957,26.34,102055.0,1.2125822
33151253,-61.428646,26.34,102065.0,1.2127011
33162265,-61.75629,26.34,102069.0,1.2127485
33173323,-61.59247,26.34,102067.0,1.2127248
33194306,-61.34409,26.349998,102063.99,1.212689
33206264,-61.09571,26.349998,102061.0,1.2126535
33217270,-61.180267,26.349998,102062.0,1.2126654
33238259,-61.9254,26.34,102071.0,1.2127724
33250255,-60.68351,26.34,102056.0,1.2125942
33263345,-61.59247,26.34,102067.0,1.2127248
33287253,-61.840847,26.349998,102069.99,1.2127603
33298264,-61.34409,26.349998,102063.99,1.212689
33309259,-61.428646,26.349998,102065.0,1.2127011
33331656,-61.5132,26.359999,102066.0,1.2127129
33343660,-61.34409,26.359999,102063.99,1.212689
33354270,-61.75629,26.359999,102069.0,1.2127485
33376273,-61.59247,26.369999,102067.0,1.2127248
33387664,-61.180267,26.369999,102062.0,1.2126654
33399740,-61.75629,26.369999,102069.0,1.2127485
